window,test_start_date,test_end_date,forecast_date,start_price,actual_forecast_price,predicted_price,actual_return_pct,predicted_return_pct,realized_sharpe,realized_sortino,realized_max_drawdown,realized_volatility,realized_total_return,predicted_sharpe,predicted_sortino,predicted_max_drawdown,predicted_volatility,predicted_var_5,var_5_breached,predicted_var_1,var_1_breached,predicted_prob_profit,actual_profit
1,1983-12-08 00:00:00-05:00,1984-12-05 00:00:00-05:00,1985-12-05 00:00:00-05:00,0.073649562895298,0.06893973052501678,0.07335186256829043,-6.3949223663103485,1.9669630920788816,0.5600820570829292,1.043029041142122,-34.21093704108632,47.796450073121605,21.511274014355173,-0.15487858283550276,-0.1858542994026033,36.76962381874955,64.39755321930079,-58.87401799920628,False,-74.03034649410854,False,0.4144,True
2,1984-06-08 00:00:00-04:00,1985-06-06 00:00:00-04:00,1986-06-06 00:00:00-04:00,0.09805671125650406,0.12931527197360992,0.10310053089387682,31.87804314111391,4.686689787722289,-0.9080382862180136,-1.4211004501985114,-47.75486852984411,48.90207091819438,-40.6111747716673,0.04768898986053011,0.05722678783263613,31.66283479190306,58.31583187971827,-45.43142627213654,False,-65.91000129332726,False,0.6336,False
3,1984-12-06 00:00:00-05:00,1985-12-05 00:00:00-05:00,1986-12-04 00:00:00-05:00,0.09377499669790268,0.14558641612529755,0.09004796213545448,55.25078245996211,0.6206551584906583,-0.5662586727219736,-0.8146785341465799,-52.6532445431402,44.309610163569694,-26.483889146797857,0.0044377183235768305,0.005325261988292197,37.235554374130004,51.36798730162506,-65.28262628403346,False,-78.06281312018601,False,0.3264,False
4,1985-06-07 00:00:00-04:00,1986-06-06 00:00:00-04:00,1987-06-05 00:00:00-04:00,0.056093908846378326,0.26674285531044006,0.0560139138248911,375.5290918323339,-3.8135578045476897,2.325941474255125,4.661979279249429,-21.08834486743925,37.300061446695146,130.53353676556824,-0.11411907647791865,-0.13694289177350238,49.874277589902135,60.18879260061257,-79.79662786599476,False,-86.9290766779655,False,0.0876,True
5,1985-12-06 00:00:00-05:00,1986-12-04 00:00:00-05:00,1987-12-03 00:00:00-05:00,0.06765521317720413,0.2100047767162323,0.06942796214393261,210.40442687865433,0.7082006488822152,2.015644070394041,3.6407617354784807,-21.5431657670908,40.16678327005402,115.18876268111693,0.16238575632455332,0.19486290758946398,30.823639565914508,37.43758035296244,-51.768555698633726,False,-65.29537399083343,False,0.3918,True
6,1986-06-09 00:00:00-04:00,1987-06-05 00:00:00-04:00,1988-06-03 00:00:00-04:00,0.12332011014223099,0.29724398255348206,0.13180631421714278,141.03447702946124,1.926332602108453,1.8705767841132444,3.583559406703031,-18.93681425687847,44.53748702874985,116.30118153705244,0.2237107590391105,0.26845291084693257,26.765686177293826,41.20935762114412,-46.67249990935824,False,-58.25658165382492,False,0.53345,True
7,1986-12-05 00:00:00-05:00,1987-12-03 00:00:00-05:00,1988-12-01 00:00:00-05:00,0.14986887574195862,0.26907798647880554,0.14963430854582158,79.54227330169535,2.78040529347206,0.7945021304065599,1.048884743424775,-52.74263476902961,63.82399538822817,40.125676980332145,0.10673876785975751,0.128086521431709,25.064753037253237,43.034091928245054,-39.943380703034435,False,-55.22296487060501,False,0.6416,True
8,1987-06-08 00:00:00-04:00,1988-06-03 00:00:00-04:00,1989-06-02 00:00:00-04:00,0.26674285531044006,0.34193915128707886,0.2855526235287889,28.19055674016986,7.051648373658488,0.4315594684256035,0.5358702019962748,-52.74263476902963,62.76572287663819,11.434655750214654,0.08340449277622757,0.10008539133147308,17.943274458210244,40.6901082206866,13.999668130683443,False,-19.365500582453013,False,0.95515,True
9,1987-12-04 00:00:00-05:00,1988-12-01 00:00:00-05:00,1989-11-30 00:00:00-05:00,0.21172679960727692,0.3102871775627136,0.2222886714636554,46.55073336878099,5.849340638580636,0.7222464878630583,1.1695017589951615,-23.198624989826254,37.251652025316076,27.087353598083435,-0.19283704058674492,-0.23140444870409388,26.079761052532117,84.00746730926977,-33.62001513050734,False,-56.095988417132304,False,0.77575,True
10,1988-06-06 00:00:00-04:00,1989-06-02 00:00:00-04:00,1990-06-01 00:00:00-04:00,0.3041561543941498,0.2874605655670166,0.31129890696741946,-5.489150420246866,4.728413437741689,0.4077658652629871,0.5712066011358757,-28.050171958391402,29.728305306395885,12.422236521299142,-0.035405753972339984,-0.04248690476680798,28.498988367373087,43.53388844258148,-37.3043540714275,False,-63.84752234279401,False,0.68345,True
